X,Y,label
153.49829487031812,-28.483548103778737,0
144.1347466923077,-35.63766769215373,0
142.67909942155268,-31.32165301945235,0
147.97322291971776,-34.619056145018604,0
146.43170965492,-33.44141759324408,0
142.47749827106807,-29.901903264348178,0
142.76264881411615,-30.691648676621067,0
143.62207051315153,-34.58648984220194,0
143.0090113530446,-29.622303018244743,0
146.61241497396563,-33.53206884614534,0
148.63843187863904,-30.50569933733512,0
149.8568363855797,-34.87984367270898,0
148.44516152303916,-32.82215307085481,0
149.0968325727258,-30.88008827347903,0
143.83449348760865,-29.805733849759285,0
147.64798862026078,-31.843231371019627,0
144.2379512372275,-30.3019731492143,0
141.30866904451824,-31.587047125394754,0
142.98424890331225,-30.752785726672197,0
142.40080841025647,-33.55266166319829,0
141.93192728703323,-30.250639010567376,0
143.55448773038452,-33.99078960665477,0
149.04002473919982,-34.946021052628794,0
146.20666291894446,-30.310781927683927,0
149.92718225788767,-28.76491674177217,0
153.5662612275424,-28.797088251457367,0
148.98701673688112,-30.100316359317844,0
151.35651068228307,-33.50302773827919,0
146.39484366123085,-35.40813275013535,0
150.4771081001905,-34.36874798199863,0
149.21474158805628,-37.09704812663568,0
146.18542246509924,-29.076358454736642,0
143.01844824654066,-33.72289061860867,0
152.1272967960169,-29.702567575617024,0
151.86835920310517,-32.64000899425913,0
150.6438472559957,-34.46030578820124,0
151.99026553384715,-32.37203620460072,0
148.6974704369685,-35.34791368662181,0
141.21625586714592,-33.68309106155748,0
147.23998971463638,-30.61062578477719,0
147.68571421107416,-34.04794987143368,0
142.06107934911816,-29.466025908649105,0
151.44747808364417,-30.422756695973156,0
147.7308865071018,-32.78039635099951,0
150.46653030226187,-29.962524407129802,0
142.60986388623664,-32.50745197162467,0
150.11469239101666,-28.965590077348235,0
150.7480803939368,-34.79189604148657,0
142.39132919740112,-32.18121611248507,0
152.9483772343906,-28.628065074968468,0
146.11341341425435,-29.739318620148445,0
145.4841904793642,-29.18715966393475,0
142.83029209942293,-32.08477132653446,0
149.50027125648424,-33.847840925935984,0
146.3021042269739,-32.928614061118196,0
152.49964504570193,-31.39202656028757,0
143.9754149971434,-34.253414206307795,0
144.3892938401839,-30.05286406007282,0
148.17373125663212,-30.259600111340518,0
147.73408502251428,-30.43477519858733,0
145.70497041418784,-33.68582793702594,0
149.5998130090856,-29.365135778533066,0
147.05772172547216,-29.877815385451953,0
143.23875968288698,-29.25969393615653,0
148.58477841246005,-36.01007061236085,0
144.83491967359456,-31.381997227645975,0
147.1165986428681,-30.935091474559,0
153.124484961925,-30.28443647452849,0
147.76167198326385,-30.293960836015838,0
148.44847995135598,-32.72360394080195,0
149.51278107395513,-33.49267916000297,0
146.0304652756327,-34.565772453579996,0
147.68667757306198,-32.82677764756542,0
147.62701433209915,-35.70427664130724,0
142.20463284645518,-31.049857530525653,0
151.38590964001898,-31.04845368256864,0
147.88625071630278,-35.66006439222359,0
145.34120048524593,-32.77349534397515,0
148.18393078960543,-29.250424674313535,0
141.9394214846901,-31.796374220326804,0
143.34113798221836,-31.19526238144513,0
148.3095156818548,-31.614742365267546,0
148.68272069207697,-34.13981033574546,0
149.9847428171402,-33.872811858673074,0
