X,Y,label,sample_weight
149.09025476297944,-29.2088922378993,0,0.5
151.61683030029093,-31.761194327526756,0,0.5
147.55579400801315,-34.15829768688765,0,0.5
141.54534408521656,-29.55059647844833,0,0.5
150.6128868856123,-31.162520113440674,0,0.5
142.86398494883338,-33.28097391733361,0,0.5
141.15021236067483,-33.783753877967115,0,0.5
151.47143488891837,-32.19169318867219,0,0.5
143.10080554901836,-33.040469859729136,0,0.5
141.43199776966256,-30.341415966500392,0,0.5
150.30414009693934,-34.50914902119934,0,0.5
142.01604678870703,-33.4814706142522,0,0.5
150.0768879041856,-33.89457899290835,0,0.5
146.64897235325785,-31.35150883559373,0,0.5
146.94249298458925,-31.092347759092917,0,0.5
145.69230127916808,-31.347812561015697,0,0.5
149.90244434600936,-29.714476859877454,0,0.5
150.41901455511788,-32.091414074848345,0,0.5
141.40313459788578,-29.804520243692377,0,0.5
142.90290543563447,-29.949358400714026,0,0.5
147.63142325649068,-34.988204221198934,0,0.5
141.128005909521,-31.58872959209544,0,0.5
149.16497954334042,-34.05121610487559,0,0.5
145.62447642288865,-32.505445993003576,0,0.5
147.89805254964,-30.776789566213377,0,0.5
141.23379171345138,-33.079047983920006,0,0.5
143.23474778242885,-33.50416220893563,0,0.5
151.5139084230686,-29.698921742931468,0,0.5
150.17748282080677,-32.831391252826165,0,0.5
145.23056016094307,-30.729427735318424,0,0.5
148.52839581776811,-31.829133755987307,0,0.5
144.6016550127691,-33.57769635322287,0,0.5
152.1439426258905,-29.965482976236505,0,0.5
146.58162971108118,-33.70640676054825,0,0.5
152.6673007177482,-30.108116546572045,0,0.5
148.6812403129128,-32.804704277889726,0,0.5
145.5576502022905,-34.62492043700172,0,0.5
143.4018612387596,-29.392856771491076,0,0.5
142.0709734724233,-29.47360591670469,0,0.5
144.01754147659747,-33.39047640930667,0,0.5
143.4887664401572,-32.25320781052086,0,0.5
145.96762512261745,-31.157312593125265,0,0.5
152.0975074547955,-32.67948771849168,0,0.5
145.4678100633597,-34.91882856776702,0,0.5
146.16865766687255,-35.63435805581346,0,0.5
149.10315509736395,-32.78342952079448,0,0.5
146.33266333958105,-35.33098034026981,0,0.5
149.8762136752407,-32.69578759360547,0,0.5
145.44043087180793,-33.29453584660169,0,0.5
